severity,mapping_status,kb_document_id,maintenance_pack,hot_fix_release_label,about_window_file,bug_patch_number,product,category,description,source_html,evidence_attachment_count,placeholder_attachment_count,evidence_attachment_paths,placeholder_attachment_paths,mapping_warnings,kb_extraction_warnings
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,38765800,Oracle Utilities Customer to Meter,Market Transaction Messaging,"Market Transaction Messages 867_03/810 non-final not RFP for service point with meter removed, 810s are stuck in 'Investigate' / 'Cancel' status",kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,38711109,Oracle Utilities Customer to Meter,Market Transaction Messaging,U2BILLGENPRC algorithm needs to be fixed to ignore adjustment only bill,kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,38803958,Oracle Utilities Customer to Meter,Market Transaction Messaging,Error upon viewing a service agreement - field name 'ACT_ERROR_MESSAGE' that does not exist,kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,38803048,Oracle Utilities Customer to Meter,Market Transaction Messaging,Various MTM transaction and zone errors,kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
HIGH,NO_EVIDENCE_ATTACHMENT_FOUND,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,38719400,Oracle Utilities Customer to Meter,Market Transaction Messaging,Remove 'Error Status' soft parameter from U2VALMM algorithm,kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,No extracted attachment matched the KB row bug / patch number within the referenced portfolio.,
MEDIUM,ROW_MISSING_FIX_IDENTIFIER,KB869018,MP 5,"February 07, 2026",CCS_25.10_MP5.1.0_PFDs_Portfolio.pdf,,,,Customer requesting base classes/methods to be added on allowlist - CcbInstallationHelper,kbs/raw/February 2026 Maintenance Pack - MP 5 - Starting after MP 5.3.1.html,0,0,,,KB row has no bug / patch identifier to join against extracted source attachments.,Missing bug / patch number. | Missing product. | Missing category.
LOW,KB_DECLARED_NO_PFD,KB875759,MP 6,"March 21, 2026",CCS_25.10_MP6.3.2_PFDs_Portfolio.pdf,38877124,Oracle Utilities Framework,Third Party Software,Upgrade of Apache Log4j Library (No PFD),kbs/raw/March 2026 Maintenance Pack - MP 6.html,0,0,,,,
LOW,KB_DECLARED_NO_PFD,KB875759,MP 6,"March 21, 2026",CCS_25.10_MP6.3.2_PFDs_Portfolio.pdf,,,,BlueGreen: Table or view does not exist on grantPrivsForReadLogon.sql (No PFD),kbs/raw/March 2026 Maintenance Pack - MP 6.html,0,0,,,,Missing bug / patch number. | Missing product. | Missing category.
LOW,KB_DECLARED_NO_PFD,KB875759,MP 6,"March 21, 2026",CCS_25.10_MP6.3.2_PFDs_Portfolio.pdf,,,,Added allowlist CM classes (No PFD),kbs/raw/March 2026 Maintenance Pack - MP 6.html,0,0,,,,Missing bug / patch number. | Missing product. | Missing category.
MEDIUM,ROW_MISSING_FIX_IDENTIFIER,KB875759,MP 6,"March 12, 2026",CCS_25.10_MP6.2.2_PFDs_Portfolio.pdf,,,,Add new property (related to bug 38874152),kbs/raw/March 2026 Maintenance Pack - MP 6.html,0,0,,,KB row has no bug / patch identifier to join against extracted source attachments.,Missing bug / patch number. | Missing product. | Missing category.
LOW,KB_DECLARED_NO_PFD,KB875759,MP 6,"March 07, 2026",CCS_25.10_MP6.1.0_PFDs_Portfolio.pdf,38761631,Oracle Utilities Customer to Meter,Market Transaction Messaging,Remove unused Market Transaction Messaging scripts ( No PFD provided for this fix),kbs/raw/March 2026 Maintenance Pack - MP 6.html,0,0,,,,
LOW,KB_DECLARED_NO_PFD,KB875759,MP 6,"March 07, 2026",CCS_25.10_MP6.1.0_PFDs_Portfolio.pdf,38969914,Oracle Utilities Customer to Meter,Market Transaction Messaging,"Inbound Market-related payments with $0.00 amounts creating To Do for Overpayment and staying in Processing status, other Market Transaction Messaging bills and user interface issues (No PFD provided for this fix)",kbs/raw/March 2026 Maintenance Pack - MP 6.html,0,0,,,,
MEDIUM,ROW_MISSING_FIX_IDENTIFIER,KB875759,MP 6,"March 07, 2026",CCS_25.10_MP6.1.0_PFDs_Portfolio.pdf,,,,"Jaeger traces missing, add the missing port in network policies",kbs/raw/March 2026 Maintenance Pack - MP 6.html,0,0,,,KB row has no bug / patch identifier to join against extracted source attachments.,Missing bug / patch number. | Missing product. | Missing category.
